time,HS,d,f,lw_in,lw_out,rh,sw_in,sw_out,t,max_glob,max_diff,max_direct,max_up,Diff_ratio,Glob_sum_ratio,f_QC1,HS_QC1,lw_out_QC1,d_QC1,sw_in_QC1,lw_in_QC1,t_QC1,sw_out_QC1,rh_QC1
1996-07-18 13:00:00,1.5276364,184.03746,9.6263333,306.40122,308.78966,99.623333,266.29005,176.07716000000005,2.8444,1332.2493204703064,830.424569631194,889.5752715162581,1035.799456376245,0.6233251966216354,14.76783772773832,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-18 14:00:00,1.5282714,181.61905,9.5976667,305.00928,308.18439,98.973333,263.23699,174.34396999999996,2.766,1195.0963391970915,743.5610148248246,806.264401422439,926.0770713576732,0.6221766316549638,13.444208996354169,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-18 15:00:00,1.5324308999999998,188.4367,9.942,297.1467,307.97273,97.433333,271.79528,180.44661,2.8212667,1019.7763876810773,632.5250455313488,697.165294300085,785.8211101448617,0.6202585715577124,11.163560319828163,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-18 16:00:00,1.5396553,180.11652,9.878,302.83758,307.79449,97.393333,277.88403,181.0996,2.7316667000000003,821.9078252678011,507.20828933627394,569.7294513830607,627.5262602142408,0.6171109140748368,8.492149256526087,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-18 17:00:00,1.5420188,165.88302,9.007666699999998,305.61462,307.47514,97.853333,199.88686,131.16696000000002,2.7573667,618.9075538645254,378.6414507808661,432.6886864424362,465.1260430916203,0.6117899974181735,9.006234785913913,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-18 18:00:00,1.5439801000000002,169.19959,8.4346667,305.32734,307.26719,97.87,173.70835,111.52873,2.6931,428.3682975910643,257.9665884743407,295.5073111488749,312.6946380728514,0.6022074694253048,6.889207389673084,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-18 19:00:00,1.5467877,169.01327,8.1467,304.98534,307.04811,96.776667,109.19465,70.226285,2.7925667,266.63651366617876,155.53645865524652,167.909662267741,183.309210932943,0.5833276790063858,6.8423839097734485,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-18 20:00:00,1.5500142,169.91946000000004,7.9734,304.81434,306.61365,97.723333,56.36803199999999,36.82705900000001,2.5542,148.53159323528246,80.7366757156789,60.06493385888477,88.82527458822597,0.5435656748647908,7.601033645319638,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-18 21:00:00,1.5518993,160.01666,8.7643333,307.67004,307.50485,99.863333,29.710199,19.668792,2.5484667,100.0,50.0,0.0,50.0,0.5,9.958763746952993,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-18 22:00:00,1.5520829,157.26988,9.3243333,307.4614200000001,307.31547,98.756667,10.550146,7.0800079,2.8771,100.0,50.0,0.0,50.0,0.5,28.81729692544513,Good,Good,Good,Good,Good,Good,Good,Good,Good
